<<<<<<< HEAD
name,business_vintage_years,business_type,city_tier,annual_revenue,net_profit_margin,cashflow_stability,owner_income,owner_cibil,past_defaults,existing_loan_emi,dti,industry_risk,collateral_value,collateral_flag,requested_amount,loan_tenure_years,loan_status,approved_amount,interest_rate
Mohit Khan,3,IT,Urban,1812310,0.114,0.615,83071,723,0,3804,0.046,0.738,19551643,1,195959,4,1,144107,14.86
Rohan Kapoor,13,IT,Metro,29495891,0.14,0.238,55657,752,0,8545,0.154,0.251,11710169,1,2431044,3,1,2024810,12.42
Aaditya Gupta,4,MSME,Urban,47041397,0.233,0.333,69391,716,0,12663,0.182,0.803,10977696,1,5368165,10,1,4495547,14.03
Kiran Jain,6,IT,Metro,28985972,0.208,0.79,123557,749,0,18240,0.148,0.625,47993140,1,4024121,2,1,3216246,13.88
Neha Sharma,6,MSME,Urban,19714411,0.138,0.266,113189,724,0,5479,0.048,0.957,30815024,1,4307570,10,1,3299510,15.21
Neha Jain,12,IT,Urban,32342767,0.346,0.683,80908,601,0,13558,0.168,0.138,27843922,1,2123018,5,0,0,
Rahul Patel,14,Retail,Metro,23183518,0.22,0.396,70950,664,0,21318,0.3,0.339,20788755,1,2379249,4,0,0,
Kiran Singh,10,Manufacturing,Metro,27508031,0.098,0.511,73001,711,0,2073,0.028,0.641,21447217,1,6939063,1,1,5827726,13.52
Ravi Sharma,12,IT,Metro,47102508,0.054,0.431,85338,647,0,2737,0.032,0.367,27045250,1,4085223,4,1,3331585,12.95
Neha Khan,3,Service,Rural,19612081,0.07,0.485,44430,756,0,6305,0.142,0.743,34821490,1,2660600,4,1,2023013,14.63
Ravi Jain,12,Manufacturing,Rural,48078933,0.101,0.775,63566,812,0,23945,0.377,0.783,35107305,1,12796916,3,1,10930509,13.81
Ravi Gupta,6,Retail,Urban,45314857,0.073,0.438,28285,793,0,7564,0.267,0.192,8584695,1,4020847,5,1,3280242,12.42
Meera Jain,10,MSME,Metro,10191661,0.082,0.653,79981,707,0,21712,0.271,0.562,25005638,1,720389,10,1,542393,14.16
Vivek Singh,2,Service,Metro,3933384,0.114,0.581,86180,809,0,12476,0.145,0.558,20597905,1,673138,5,1,553487,13.45
Anjali Verma,5,Service,Urban,5488511,0.077,0.731,57920,729,0,13754,0.237,0.432,43526348,1,689384,5,0,0,
Neha Jain,11,Service,Urban,1401980,0.316,0.949,109350,700,0,443,0.004,0.94,31570946,1,267571,2,1,200785,15.32
Ritika Reddy,1,Retail,Metro,5174927,0.046,0.786,39356,683,0,10014,0.254,0.845,26625203,1,1298654,4,1,963924,15.11
Amit Gupta,9,Retail,Metro,34308835,0.193,0.372,33391,702,0,12198,0.365,0.727,5769732,1,2891793,2,1,2215592,14.52
Neha Patel,12,Retail,Urban,4023838,0.155,0.225,75611,697,0,18527,0.245,0.743,30281894,1,785352,5,1,517203,15.64
Kunal Kapoor,13,Manufacturing,Metro,16289294,0.344,0.41,96177,730,1,33612,0.349,0.516,5860195,1,2873060,10,1,1991562,14.62
Kabir Reddy,8,IT,Metro,42321328,0.057,0.676,112098,730,0,32462,0.29,0.929,16860329,1,3640468,5,1,3023162,14.48
Shruti Yadav,4,Service,Metro,1651961,0.151,0.241,58528,720,0,2822,0.048,0.725,7142098,1,340303,2,0,0,
Kunal Reddy,5,Trading,Urban,40816190,0.34,0.597,96967,746,0,35003,0.361,0.756,34603682,1,4833049,4,1,3629150,14.76
Meera Gupta,11,Trading,Rural,14451811,0.306,0.677,69037,791,0,1835,0.027,0.876,10312606,1,2485113,5,1,2023018,14.49
Ritika Verma,11,Retail,Rural,6349159,0.29,0.467,65684,777,0,14029,0.214,0.347,19592969,1,448048,4,1,344701,13.35
Amit Kapoor,11,IT,Urban,34988490,0.105,0.817,92091,631,0,5236,0.057,0.826,44783739,1,5769463,7,1,4771700,14.21
Mohit Patel,11,Service,Urban,31632671,0.076,0.285,86308,567,0,404,0.005,0.276,10215819,1,4005198,7,1,3137114,13
Kiran Yadav,3,Trading,Metro,43934865,0.241,0.26,30590,776,0,5164,0.169,0.411,25390253,1,11229545,5,1,9677789,12.61
Sarthak Gupta,13,Retail,Urban,36886017,0.327,0.783,106914,638,0,12618,0.118,0.402,20963583,1,2369730,4,1,2026731,12.65
Kabir Gupta,13,IT,Metro,40272306,0.204,0.596,104502,707,0,20315,0.194,0.981,906202,1,6228185,3,1,5204794,14.59
Ritika Khan,10,Service,Urban,14460711,0.209,0.751,54361,650,0,12551,0.231,0.871,39637906,1,2380347,2,0,0,
Yash Jain,9,Retail,Metro,9283257,0.112,0.548,79895,612,0,1398,0.017,0.731,3452295,1,2146767,4,0,0,
Meera Jain,6,Manufacturing,Metro,37655430,0.274,0.397,82351,752,0,4052,0.049,0.754,23712751,1,7289033,4,1,5991963,14.04
Rahul Verma,11,IT,Metro,40438320,0.082,0.855,76517,766,0,17098,0.223,0.606,28033915,1,8767152,5,1,7694558,13.04
Neha Yadav,8,IT,Metro,49530005,0.127,0.84,56242,685,0,7720,0.137,0.952,31421323,1,12098314,5,1,10044603,14.55
Amit Sharma,6,Retail,Metro,20924575,0.16,0.756,53209,565,0,15519,0.292,0.547,34431581,1,5556536,2,1,4259630,13.98
Amit Gupta,13,Service,Metro,18914895,0.188,0.418,69361,687,0,18097,0.261,0.442,12663619,1,2429975,4,0,0,
Mohit Khan,0,Retail,Rural,38932442,0.1,0.672,99318,744,0,33593,0.338,0.247,498939,0,7183257,3,1,5552350,13.01
Mohit Gupta,0,IT,Metro,17369775,0.058,0.489,83590,631,0,23154,0.277,0.808,36172183,1,4516611,3,0,0,
Meera Sharma,8,Manufacturing,Urban,46572488,0.222,0.273,60735,731,0,10445,0.172,0.761,26782830,1,13848925,7,1,10758900,14.51
Sana Yadav,10,Trading,Rural,42991431,0.115,0.934,89292,719,0,24036,0.269,0.446,41805885,1,11709999,1,1,11111048,11.85
Mohit Yadav,13,Retail,Rural,21735204,0.212,0.309,15000,755,0,1652,0.11,0.123,41069418,1,3105239,4,1,2566680,12.1
Ritika Singh,8,Retail,Urban,37668118,0.071,0.96,98719,727,0,12096,0.123,0.855,42166308,1,3721295,3,1,3423285,13.37
Kiran Patel,3,Manufacturing,Rural,37849872,0.179,0.557,26507,662,0,8365,0.316,0.11,24254733,1,6523355,7,1,5167412,12.41
Ravi Singh,12,Manufacturing,Metro,5604632,0.196,0.348,60939,792,1,10882,0.179,0.733,16681420,1,1319388,5,0,0,
Ritika Sharma,8,Service,Metro,45176369,0.037,0.634,42008,710,0,13415,0.319,0.973,39577910,1,7821939,3,1,6093290,15.13
Kunal Sharma,2,Retail,Metro,25509992,0.131,0.898,37633,718,0,12380,0.329,0.494,22564706,1,4356985,4,1,3479032,13.5
Rohan Gupta,6,Trading,Urban,41409645,0.064,0.786,99021,664,0,33967,0.343,0.311,9172110,1,10748188,5,0,0,
Rohan Patel,5,Manufacturing,Urban,16342455,0.041,0.845,58307,693,0,21379,0.367,0.734,42748701,1,2293679,10,0,0,
Neha Gupta,7,Retail,Metro,44828400,0.347,0.727,78663,667,0,13561,0.172,0.835,44127994,1,11877225,3,1,9845441,14.22
Kiran Patel,10,Retail,Metro,19765483,0.126,0.754,68827,710,0,8779,0.128,0.592,23315488,1,2998447,7,1,2480767,13.5
Ritika Khan,8,Manufacturing,Urban,1036464,0.287,0.879,81926,823,0,19079,0.233,0.97,3784986,1,136874,10,0,0,
Kabir Reddy,13,Manufacturing,Metro,45316408,0.104,0.4,71921,638,0,10678,0.148,0.147,19391304,1,7409118,10,1,6740878,11.34
Rahul Khan,4,Service,Urban,5018691,0.245,0.592,37925,623,0,9118,0.24,0.554,40176883,1,1207556,5,1,798938,15.05
Kabir Gupta,0,Service,Urban,16306025,0.271,0.377,94907,808,0,26786,0.282,0.747,45088701,1,1328949,5,1,1028340,14.5
Amit Sharma,2,Service,Urban,47528067,0.217,0.99,57656,707,0,15876,0.275,0.876,10173637,1,4710260,4,1,4292085,13.52
Kabir Singh,9,Service,Urban,47555054,0.176,0.955,31085,680,0,4657,0.15,0.261,3348681,1,13689255,7,1,12132206,11.92
Kabir Khan,11,Service,Rural,28885175,0.156,0.232,59297,782,1,3958,0.067,0.82,43867523,1,2711535,4,1,2160285,14.49
Suresh Singh,7,Manufacturing,Urban,31775942,0.135,0.764,107519,684,0,18516,0.172,0.597,19470247,1,6098815,5,1,5083342,13.46
Ritika Verma,14,Service,Urban,22698053,0.327,0.94,91256,830,0,5205,0.057,0.457,27088048,1,4422230,4,1,3795008,12.79
Rahul Patel,10,MSME,Urban,15013933,0.294,0.344,61284,761,0,21819,0.356,0.219,48403291,1,2588494,5,1,1861260,13.47
Priya Patel,5,Service,Metro,16768895,0.338,0.654,61269,691,0,8477,0.138,0.879,3328236,1,3541361,7,1,2587781,15.33
Sana Khan,7,IT,Metro,33789664,0.061,0.932,61959,849,0,3828,0.062,0.242,32415900,1,3630925,2,1,3541478,10.97
Suresh Patel,8,Retail,Metro,37742539,0.261,0.227,121919,684,0,1241,0.01,0.379,3705271,1,7101846,7,1,5715015,13.09
Yash Gupta,3,IT,Metro,39683163,0.33,0.758,79548,765,0,20550,0.258,0.361,18773446,1,5676411,4,1,5067463,12.16
Yash Jain,0,IT,Urban,39586098,0.08,0.438,80751,738,0,20572,0.255,0.884,40190727,1,8527511,7,1,6568982,14.95
Ravi Reddy,13,Service,Rural,5014702,0.042,0.94,95757,798,0,13046,0.136,0.705,21673612,1,427784,4,1,324967,14.52
Ritika Patel,0,MSME,Metro,24973805,0.265,0.977,75970,814,0,2179,0.029,0.817,49859118,1,4812936,4,1,4266677,13.59
Vivek Sharma,9,Manufacturing,Metro,3349159,0.21,0.955,63524,722,0,10409,0.164,0.325,27952964,1,322583,10,1,240129,13.53
Shruti Singh,3,Manufacturing,Rural,27701680,0.298,0.579,65091,675,0,8103,0.124,0.662,16058108,1,3314804,3,0,0,
Meera Singh,11,IT,Metro,22355760,0.066,0.89,68210,748,0,18475,0.271,0.615,11005566,1,2340144,7,1,1904490,13.71
Meera Sharma,13,Trading,Urban,44441357,0.282,0.876,69069,679,0,16736,0.242,0.85,17526027,1,4253458,4,1,3641259,13.99
Rohan Singh,6,Manufacturing,Urban,17870293,0.087,0.455,88191,841,0,12862,0.146,0.915,18626664,1,4582439,4,0,0,
Rohan Verma,1,Retail,Urban,6294817,0.074,0.863,71299,728,0,6214,0.087,0.111,3435684,1,764360,3,1,623418,12.18
Sarthak Gupta,2,Manufacturing,Metro,7578088,0.074,0.23,88316,698,0,34904,0.395,0.707,18478710,1,2135361,5,1,1458378,15.29
Meera Khan,0,Retail,Metro,38194776,0.289,0.677,67982,731,1,12346,0.182,0.147,23211926,1,11171270,3,1,9941880,11.54
Vivek Sharma,4,IT,Metro,31101794,0.24,0.384,71966,639,0,19813,0.275,0.594,36136888,1,5996896,1,1,4366380,14.5
Kiran Khan,0,Service,Urban,5505572,0.193,0.296,20045,662,0,1127,0.056,0.359,32836474,1,472104,3,0,0,
Suresh Reddy,7,Retail,Urban,4663287,0.138,0.262,92908,792,0,18046,0.194,0.376,35438283,1,669821,1,1,502222,13.63
Rahul Khan,0,Retail,Metro,35197972,0.309,0.757,78662,681,0,866,0.011,0.418,418184,0,8779538,10,1,7237898,13.01
Vivek Reddy,10,Manufacturing,Urban,4101769,0.15,0.472,94950,657,0,19197,0.202,0.659,10883370,1,581826,10,1,379092,15.46
Anjali Patel,0,Retail,Rural,41182073,0.289,0.78,15000,752,0,5784,0.386,0.401,33084214,1,2954991,4,1,2572210,12.5
Rohan Jain,1,Service,Metro,35458990,0.165,0.252,122209,791,0,18781,0.154,0.759,24199468,1,6708707,5,1,4877764,15.01
Kiran Jain,1,MSME,Urban,4526765,0.144,0.452,66510,763,0,1037,0.016,0.464,265674,0,1182754,3,1,807439,14.57
Amit Jain,11,Trading,Urban,4699467,0.173,0.632,97705,780,0,1210,0.012,0.162,40224732,1,1170081,5,1,985448,12.06
Kunal Khan,5,Manufacturing,Metro,49338659,0.119,0.833,44002,675,0,6829,0.155,0.805,38640479,1,4627018,7,1,3903786,13.98
Anjali Verma,6,Trading,Metro,19026404,0.267,0.455,85319,635,0,5461,0.064,0.357,27420958,1,4151393,10,1,3059623,13.7
Rahul Kapoor,4,IT,Urban,18846786,0.186,0.701,43665,810,0,408,0.009,0.489,3323166,1,1981288,4,1,1676106,13.01
Mohit Patel,0,IT,Rural,40733579,0.097,0.909,54406,701,1,16457,0.302,0.717,38325752,1,4258772,7,1,3433236,14.09
Sana Reddy,0,Service,Rural,47388805,0.317,0.693,117851,705,0,21615,0.183,0.399,29185679,1,12724744,3,1,10921429,12.61
Ravi Reddy,2,Retail,Urban,49307053,0.147,0.386,65233,800,1,7547,0.116,0.151,39097999,1,5542963,10,1,5011049,11.41
Anjali Singh,13,Retail,Urban,37792220,0.199,0.22,75436,753,0,27159,0.36,0.437,37587350,1,4376786,1,1,3343006,13.67
Meera Sharma,1,Manufacturing,Metro,19124849,0.319,0.896,91752,747,0,4262,0.046,0.95,40150104,1,959366,5,1,764250,14.88
Kunal Singh,4,Retail,Urban,4633285,0.226,0.217,82392,850,0,31504,0.382,0.678,25900403,1,1240179,5,1,877225,14.96
Neha Yadav,11,Retail,Urban,38968772,0.059,0.9,73760,681,0,9263,0.126,0.704,7016226,1,9670050,5,1,8425341,13.4
Rohan Singh,9,Service,Metro,28141010,0.33,0.623,79124,776,0,28118,0.355,0.669,33557874,1,5820468,2,1,4662769,14
Aaditya Kapoor,5,IT,Urban,21498989,0.227,0.951,130085,723,0,31374,0.241,0.279,31023689,1,5107438,10,0,0,
Suresh Sharma,6,Service,Urban,45364542,0.131,0.839,68560,736,0,22672,0.331,0.477,37112659,1,3992631,3,1,3545284,12.55
Rohan Verma,3,Manufacturing,Metro,6004275,0.066,0.998,75027,812,0,29531,0.394,0.776,8494050,1,988189,5,1,755581,14.68
Ravi Yadav,6,MSME,Rural,24884943,0.282,0.481,96266,750,0,11105,0.115,0.191,9748760,1,3429266,3,1,2829170,12.32
Rahul Yadav,10,MSME,Metro,1062005,0.225,0.814,97638,752,0,37537,0.384,0.35,44520476,1,77998,3,0,0,
Amit Jain,7,IT,Metro,23698702,0.196,0.522,99676,784,0,15529,0.156,0.349,37498890,1,4065100,4,1,3255144,13.04
=======
name,business_vintage_years,business_type,city_tier,annual_revenue,net_profit_margin,cashflow_stability,owner_income,owner_cibil,past_defaults,existing_loan_emi,dti,industry_risk,collateral_value,collateral_flag,requested_amount,loan_tenure_years,loan_status,approved_amount,interest_rate
Amit Singh,6,Retail,Metro,12263058,0.039,0.915,127472,758,0,4049,0.032,0.992,21600946,1,3397568,10,1,2566343,15.42
Shruti Jain,3,Retail,Metro,36546709,0.059,0.831,60929,651,0,17828,0.293,0.59,49018437,1,8759472,1,1,7583342,13.11
Rohan Reddy,12,Service,Metro,18705265,0.059,0.321,58862,818,0,4413,0.075,0.966,3375127,1,3727750,3,1,2665778,15.75
Sarthak Khan,14,Manufacturing,Metro,31799139,0.234,0.449,106335,651,0,36502,0.343,0.168,25935050,1,6790171,3,1,5692110,12.12
Yash Yadav,10,Service,Urban,31859721,0.266,0.399,109489,738,0,35871,0.328,0.429,8968234,1,8674828,3,1,6750531,13.51
Amit Yadav,7,Service,Rural,27020847,0.213,0.795,56928,675,0,12315,0.216,0.303,48533827,1,5261005,10,1,4589328,12.19
Priya Singh,12,IT,Metro,4969344,0.338,0.227,59495,716,0,16902,0.284,0.276,5665175,1,1034110,4,1,738083,13.69
Ritika Yadav,4,Trading,Metro,41847474,0.144,0.656,62955,740,0,7916,0.126,0.227,20180050,1,3729413,4,1,3260938,11.94
Vivek Khan,6,Service,Metro,16378613,0.114,0.81,36389,739,1,6858,0.188,0.66,36894249,1,2759474,7,0,0,
Kiran Khan,9,Retail,Metro,9732666,0.307,0.901,47034,745,0,15458,0.329,0.803,35227721,1,2229747,3,0,0,
Kunal Yadav,2,Retail,Urban,2518370,0.094,0.474,44896,817,0,8248,0.184,0.62,21136432,1,296502,4,1,218521,14.49
Priya Yadav,6,Manufacturing,Urban,29749201,0.338,0.857,50805,747,0,7271,0.143,0.232,17326208,1,2991685,4,1,2596361,12.02
Rahul Patel,10,Manufacturing,Metro,34039436,0.024,0.289,69133,705,0,13667,0.198,0.83,19880619,1,4372594,5,0,0,
Sana Patel,10,Retail,Metro,1321098,0.34,0.877,75855,778,0,25131,0.331,0.672,13213813,1,145816,10,1,107869,14.62
Sarthak Reddy,7,Retail,Metro,25848606,0.034,0.302,108763,791,0,14583,0.134,0.449,10266647,1,2681228,7,1,2107657,13.49
Yash Singh,4,MSME,Rural,11711541,0.314,0.518,45041,646,0,3131,0.07,0.707,24151985,1,1829492,4,0,0,
Yash Jain,3,Service,Rural,32436053,0.194,0.838,94608,756,0,26945,0.285,0.334,13426688,1,8983477,7,1,7798076,12.32
Shruti Verma,7,Retail,Metro,9131138,0.348,0.32,64650,762,0,21360,0.33,0.411,14373083,1,1614065,3,0,0,
Sarthak Patel,7,Service,Metro,34701418,0.044,0.383,68763,702,0,2768,0.04,0.926,32837803,1,3365347,1,1,2516243,15.3
Kunal Gupta,2,Manufacturing,Rural,19643400,0.203,0.778,86870,803,0,8335,0.096,0.361,48426867,1,1360166,3,1,1064369,13.26
Amit Reddy,5,Service,Rural,46868134,0.34,0.776,41932,711,0,2381,0.057,0.523,30181860,1,10500292,3,1,8788029,13.2
Amit Yadav,4,Service,Metro,7307287,0.193,0.713,79560,728,0,11073,0.139,0.901,3848973,1,1064669,4,0,0,
Sarthak Sharma,1,Service,Metro,17382784,0.228,0.755,74161,710,0,13359,0.18,0.737,3779181,1,4440567,5,1,3346201,14.68
Aaditya Patel,7,Service,Metro,6116939,0.25,0.634,82311,721,0,24655,0.3,0.156,47571161,1,1314394,10,0,0,
Anjali Reddy,11,MSME,Urban,46272334,0.17,0.401,77229,654,0,20115,0.26,0.233,14864540,1,11524604,4,1,9402900,12.54
Vivek Sharma,13,Trading,Metro,43928298,0.227,0.477,131383,634,0,32632,0.248,0.107,4603349,1,5182947,4,1,4372686,11.88
Sarthak Gupta,5,Service,Metro,13268111,0.213,0.345,54057,816,0,7619,0.141,0.668,29952229,1,2959979,2,0,0,
Sarthak Verma,1,Service,Urban,33169210,0.317,0.927,56725,669,0,19092,0.337,0.503,31182439,1,3848142,1,1,3228260,13.12
Vivek Jain,11,Service,Metro,40952499,0.035,0.667,54421,661,1,10259,0.189,0.221,32425241,1,11661925,5,0,0,
Sana Singh,4,Retail,Urban,27982440,0.113,0.521,56113,591,0,21976,0.392,0.962,13370101,1,5850948,4,1,4017291,16.02
Suresh Kapoor,0,Retail,Metro,26717704,0.334,0.57,54065,682,0,13714,0.254,0.577,755534,1,3503438,7,1,2878991,13.51
Vivek Sharma,11,Manufacturing,Metro,12471688,0.314,0.958,99725,641,0,5037,0.051,0.318,48250768,1,1463901,3,1,1261116,12.34
Neha Singh,9,Service,Urban,5108587,0.17,0.323,105513,819,0,28538,0.27,0.551,12544652,1,499271,1,0,0,
Mohit Yadav,5,Service,Metro,44912180,0.225,0.669,55731,781,0,7247,0.13,0.712,33801314,1,10045069,4,1,8411281,13.76
Sana Reddy,12,Retail,Rural,45070694,0.112,0.605,49191,679,0,13504,0.275,0.169,35331493,1,4717951,3,1,4017858,11.99
Kunal Khan,11,MSME,Urban,31838522,0.082,0.689,81785,855,0,2278,0.028,0.347,30500371,1,6330320,1,1,5367009,12.56
Vivek Khan,8,MSME,Metro,17281975,0.173,0.214,56194,779,0,3931,0.07,0.826,15645370,1,2007453,5,0,0,
Neha Gupta,0,IT,Urban,17785874,0.137,0.898,85823,701,0,29377,0.342,0.514,13554813,1,3832718,2,1,2944891,13.86
Yash Yadav,10,Service,Metro,36434806,0.213,0.946,75073,570,0,6822,0.091,0.592,29883414,1,9244783,5,1,8404463,12.68
Yash Sharma,10,Trading,Rural,44906958,0.046,0.652,32106,857,0,10750,0.335,0.49,43304782,1,10980035,3,1,10011659,12.35
Amit Reddy,14,Manufacturing,Metro,44410778,0.342,0.757,108688,637,0,12142,0.112,0.14,47336686,1,10668039,3,1,9501316,11.51
Kiran Kapoor,9,IT,Urban,39103840,0.345,0.938,114897,621,0,29546,0.257,0.249,5295290,1,3790359,4,1,3403455,11.77
Shruti Yadav,11,Manufacturing,Metro,32280566,0.25,0.766,54680,781,0,15182,0.278,0.501,7741431,1,2327307,7,1,2034014,12.76
Sana Reddy,11,IT,Metro,4664928,0.197,0.322,60307,866,0,12367,0.205,0.288,47236813,1,1048383,4,1,758316,13.63
Sana Patel,14,Retail,Rural,8500621,0.122,0.661,77147,803,0,9422,0.122,0.145,36826761,1,1207826,7,0,0,
Kabir Khan,13,Trading,Rural,44978432,0.289,0.685,78361,754,0,6665,0.085,0.859,44149691,1,7110485,2,1,6131869,13.95
Amit Jain,13,MSME,Metro,30518238,0.246,0.539,86464,756,0,1148,0.013,0.983,10131632,1,1763566,7,1,1453183,14.71
Meera Jain,14,Manufacturing,Metro,955254,0.074,0.789,120255,771,0,14620,0.122,0.814,29379294,1,109753,3,1,81889,14.98
Shruti Yadav,13,Service,Rural,5522841,0.321,0.947,65576,766,0,17133,0.261,0.868,35056980,1,322639,5,1,229295,15.5
Yash Gupta,2,MSME,Rural,33343338,0.291,0.94,50043,737,0,18782,0.375,0.318,34005594,1,8995914,5,1,7504971,12.61
Shruti Reddy,11,Service,Metro,750548,0.333,0.561,35517,726,0,12377,0.348,0.965,20407585,1,83198,10,0,0,
Sana Kapoor,6,Trading,Urban,8459999,0.259,0.291,51727,716,0,15850,0.306,0.277,769745,1,1601768,4,0,0,
Rohan Sharma,3,Service,Metro,27662323,0.222,0.988,69172,675,0,21815,0.315,0.956,29146303,1,1652681,2,1,1422629,14.26
Sarthak Khan,8,Retail,Rural,34748812,0.158,0.871,114864,703,1,30553,0.266,0.995,12655077,1,7530479,1,1,5837145,15.23
Priya Reddy,2,Retail,Metro,32772082,0.328,0.3,57060,618,0,5941,0.104,0.741,22512712,1,4285174,7,1,3300428,14.52
Rohan Khan,4,Retail,Metro,11601331,0.306,0.937,75595,714,0,27432,0.363,0.983,47879051,1,3184331,4,1,2526441,15.02
Anjali Singh,2,IT,Urban,35752871,0.035,0.896,69589,661,0,18670,0.268,0.613,19951766,1,9725837,7,1,8804216,12.79
Mohit Singh,6,Retail,Metro,12243830,0.029,0.615,99710,654,0,22353,0.224,0.334,41990080,1,1607892,3,1,1188792,13.61
Yash Reddy,4,Service,Urban,16607285,0.144,0.673,133173,731,0,5912,0.044,0.493,9427030,1,4570993,3,1,3695454,13.39
Shruti Kapoor,8,Service,Metro,37451325,0.287,0.519,56728,804,0,10144,0.179,0.634,33623025,1,11199422,1,1,9513270,13.41
Sarthak Reddy,6,Service,Metro,32656829,0.346,0.244,57764,775,0,10637,0.184,0.166,48850348,1,8371706,10,1,6802217,12.37
Sana Yadav,1,Trading,Metro,42536559,0.07,0.468,96104,626,0,33235,0.346,0.66,5094655,1,11111308,5,1,8738768,14.12
Ravi Singh,3,MSME,Urban,33051838,0.216,0.842,87047,661,0,19034,0.219,0.983,415997,0,3710141,10,1,2811269,15.37
Priya Yadav,8,Service,Metro,28631276,0.146,0.204,116168,776,0,17676,0.152,0.271,21679140,1,5559495,3,0,0,
Yash Gupta,11,Trading,Urban,5136901,0.34,0.467,84598,661,0,33054,0.391,0.813,4631274,1,343217,5,1,236919,15.54
Suresh Gupta,13,IT,Rural,18701932,0.298,0.519,61018,707,0,2702,0.044,0.917,37419217,1,1378884,5,0,0,
Ravi Kapoor,1,Service,Urban,13627517,0.297,0.63,84766,753,0,14327,0.169,0.949,45727433,1,4084482,3,1,3016987,15.46
Priya Yadav,9,MSME,Metro,12577487,0.175,0.936,97718,662,0,1643,0.017,0.964,21701049,1,1655950,7,1,1382464,14.54
Ritika Yadav,8,Retail,Metro,48664022,0.157,0.477,90512,726,0,26788,0.296,0.569,12935582,1,11535611,10,1,9445236,13.52
Ritika Kapoor,9,Manufacturing,Metro,19958337,0.11,0.478,82682,640,0,30363,0.367,0.98,21720166,1,5022840,7,1,3475207,16.02
Suresh Verma,4,Trading,Metro,44656304,0.039,0.79,96667,684,1,10828,0.112,0.782,36172391,1,11811852,5,1,10862023,13.15
Kiran Gupta,1,Service,Metro,31741362,0.305,0.562,99232,739,0,34070,0.343,0.246,452708,0,9503588,3,1,6944992,13.43
Vivek Singh,3,Trading,Urban,39843160,0.288,0.38,104554,624,0,12221,0.117,0.529,29472699,1,4397654,3,1,3440242,13.76
Suresh Kapoor,11,Trading,Metro,25380536,0.35,0.562,86218,746,0,31410,0.364,0.746,30664584,1,1525058,10,1,1161444,14.62
Sana Sharma,14,Manufacturing,Metro,29056742,0.349,0.313,65822,719,0,19851,0.302,0.323,31884412,1,4439809,1,1,3543054,12.99
Amit Khan,11,Trading,Metro,24879626,0.203,0.341,73668,753,0,23718,0.322,0.677,12101104,1,2053071,5,1,1546991,14.5
Anjali Patel,6,Service,Urban,10164528,0.274,0.599,100163,733,1,721,0.007,0.7,35702636,1,565214,5,1,405741,14.92
Kiran Jain,11,Service,Metro,36261380,0.332,0.535,49577,802,0,19093,0.385,0.246,4569574,1,5080463,5,0,0,
Ravi Patel,12,Service,Urban,14398232,0.3,0.932,79217,728,0,23026,0.291,0.609,9963517,1,3541023,10,1,2726920,14.13
Ritika Verma,7,MSME,Metro,1703640,0.102,0.49,60167,694,0,7334,0.122,0.794,43873502,1,326324,3,1,225758,15.46
Mohit Jain,14,Manufacturing,Rural,32450879,0.169,0.664,70719,727,0,23462,0.332,0.549,36936158,1,4160024,3,1,3424997,13.41
Aaditya Gupta,2,Service,Rural,9266979,0.063,0.706,101961,753,0,11482,0.113,0.111,687278,1,1979292,2,1,1601447,12.24
Mohit Singh,13,IT,Metro,47052700,0.335,0.21,74777,723,0,26105,0.349,0.108,12418813,1,5081905,4,1,3918795,12.61
Rahul Kapoor,0,IT,Metro,47719465,0.22,0.731,71161,722,0,3205,0.045,0.421,10720324,1,2557542,3,1,2376583,11.97
Kiran Khan,3,IT,Metro,45785787,0.095,0.342,36004,678,0,10134,0.281,0.934,13540316,1,11038420,3,1,8737437,14.89
Aaditya Yadav,1,Manufacturing,Metro,18822856,0.242,0.969,88656,680,0,19174,0.216,0.306,12377989,1,3876299,7,1,3345325,12.29
Yash Kapoor,7,Retail,Urban,1265103,0.224,0.319,86137,636,0,3326,0.039,0.671,3126315,1,304353,10,1,209659,15.12
Kabir Singh,3,Retail,Rural,46451769,0.138,0.532,124081,825,0,12006,0.097,0.3,22947026,1,2774773,3,0,0,
Rahul Yadav,1,Trading,Urban,21695115,0.057,0.268,62306,645,0,309,0.005,0.39,36636674,1,5625107,4,1,4314509,13.5
Suresh Gupta,13,Retail,Rural,48349414,0.242,0.997,75479,678,0,14153,0.188,0.863,30336586,1,9905903,10,1,9146629,13.36
Meera Khan,5,Retail,Metro,48199189,0.192,0.602,76235,677,0,9187,0.121,0.756,33643583,1,9198759,2,1,7938779,13.64
Kabir Yadav,5,MSME,Metro,42723968,0.275,0.676,109436,774,0,26193,0.239,0.186,4057459,1,8807696,2,1,7748136,11.76
Meera Singh,9,Manufacturing,Urban,15075220,0.192,0.254,67618,702,0,8039,0.119,0.486,47574536,1,4011641,3,1,3188604,13.51
Kabir Patel,3,MSME,Metro,19562338,0.301,0.8,76976,795,0,9235,0.12,0.126,41924592,1,3848579,5,1,3358097,11.65
Kunal Yadav,5,IT,Urban,42631265,0.202,0.368,85197,680,0,25327,0.297,0.533,40254516,1,8323226,3,1,6806482,13.42
Ravi Patel,12,Trading,Metro,16187639,0.205,0.918,74665,737,0,1438,0.019,0.696,41149190,1,4818571,10,1,3733547,14.34
