name,age,city_tier,employment_type,monthly_income,other_income,bank_avg_balance_6m,job_tenure_months,cibil_score,past_defaults,inquiries_6m,existing_emi,dti,loan_amount_requested,tenure_requested_months,insurer_present,co_applicant,loan_status,approved_amount,interest_rate,loan_type,vehicle_type,vehicle_price,down_payment,co_applicant_income,property_value,ltv,property_age,builder_grade,legal_issue_flag,tenure_years,academic_score,entrance_score,course_level,course_stream,institute_tier,country,parent_income,parent_existing_emi,parent_dti,parent_cibil,tuition_fee,living_expenses,moratorium_years,business_vintage_years,business_type,annual_revenue,net_profit_margin,cashflow_stability,owner_income,owner_cibil,existing_loan_emi,industry_risk,collateral_value,collateral_flag,requested_amount,loan_tenure_years
Suresh Verma,29,Rural,Salaried,18815,,36173,5,646,0,0,4212,0.224,1334908,24,1,0,1,1054909,11.52,Two/Four Wheeler Loan,Four-Wheeler,1793551,458643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rohan Khan,36,Metro,Salaried,61985,,39484,4,724,0,1,6031,0.097,135336,60,1,0,1,109328,11.51,Two/Four Wheeler Loan,Two-Wheeler,153841,18505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suresh Sharma,30,Metro,Salaried,36613,,27173,64,737,1,0,99,0.003,1110445,36,0,0,1,815174,13.69,Two/Four Wheeler Loan,Four-Wheeler,1682765,572320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meera Jain,37,Metro,Salaried,41013,,79611,90,802,0,2,9283,0.226,72574,36,1,0,0,0,,Two/Four Wheeler Loan,Two-Wheeler,87450,14876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rahul Reddy,36,Rural,Self-Employed,18629,,24335,38,641,0,0,425,0.023,1257339,24,1,0,1,919941,12.22,Two/Four Wheeler Loan,Four-Wheeler,1703720,446381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yash Singh,25,Metro,Govt,31834,,16595,4,539,0,1,2541,0.08,335912,36,1,0,0,0,,Two/Four Wheeler Loan,Four-Wheeler,528184,192272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rohan Sharma,40,Urban,Salaried,41664,,36933,19,731,0,1,9896,0.238,139644,48,1,0,0,0,,Two/Four Wheeler Loan,Two-Wheeler,198150,58506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivek Khan,28,Metro,Self-Employed,22735,,26712,47,828,0,0,5403,0.238,141812,60,1,0,1,106045,12.03,Two/Four Wheeler Loan,Two-Wheeler,191609,49797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivek Kapoor,38,Urban,Salaried,45635,,70249,54,794,0,1,6542,0.143,44882,36,1,0,0,0,,Two/Four Wheeler Loan,Two-Wheeler,55914,11032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarthak Verma,35,Metro,Salaried,30990,,49576,5,733,0,2,4895,0.158,124684,36,1,0,1,93642,12.39,Two/Four Wheeler Loan,Two-Wheeler,155836,31152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravi Verma,45,Urban,Salaried,35625,,71005,1,691,0,1,3994,0.112,999597,48,1,1,1,833651,11.19,Two/Four Wheeler Loan,Four-Wheeler,1429724,430127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Priya Khan,30,Rural,Salaried,30974,,28845,45,768,0,1,2270,0.073,747531,48,1,0,1,611876,11.38,Two/Four Wheeler Loan,Four-Wheeler,1242244,494713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rohan Yadav,30,Rural,Govt,67784,,88616,16,662,0,2,5570,0.082,1101655,36,1,0,1,916706,11.41,Two/Four Wheeler Loan,Four-Wheeler,1570543,468888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rahul Yadav,32,Rural,Self-Employed,39798,,51737,11,749,0,0,6691,0.168,137245,36,0,0,0,0,,Two/Four Wheeler Loan,Two-Wheeler,187323,50078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rohan Singh,30,Metro,Salaried,24134,,26752,1,750,0,0,4539,0.188,338062,36,0,0,0,0,,Two/Four Wheeler Loan,Four-Wheeler,496563,158501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meera Sharma,38,Urban,Salaried,52338,,39449,28,784,0,0,10357,0.198,604826,36,1,0,1,472662,11.62,Two/Four Wheeler Loan,Four-Wheeler,795365,190539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravi Jain,21,Metro,Salaried,21687,,42641,69,886,0,1,4281,0.197,83435,12,1,0,1,64780,11.88,Two/Four Wheeler Loan,Two-Wheeler,94602,11167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravi Patel,25,Metro,Salaried,43133,,76776,114,744,0,1,983,0.023,137968,36,1,0,0,0,,Two/Four Wheeler Loan,Two-Wheeler,188659,50691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kabir Kapoor,25,Urban,Self-Employed,10605,,13230,30,689,1,2,1311,0.124,459989,36,0,0,0,0,,Two/Four Wheeler Loan,Four-Wheeler,750742,290753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kabir Kapoor,39,Metro,Self-Employed,20077,,28206,26,718,0,0,289,0.014,162397,48,1,1,1,119576,12.16,Two/Four Wheeler Loan,Two-Wheeler,191640,29243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kunal Jain,44,Urban,Salaried,42953,,36119,3,614,0,0,5901,0.137,650748,12,0,1,0,0,,Two/Four Wheeler Loan,Four-Wheeler,939033,288285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meera Yadav,31,Rural,Salaried,51077,,67201,29,678,0,1,5638,0.11,150567,36,1,0,1,111636,12.3,Two/Four Wheeler Loan,Two-Wheeler,179306,28739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ritika Verma,31,Metro,Salaried,42571,,65664,17,695,0,0,9448,0.222,1229759,36,1,0,1,978077,11.46,Two/Four Wheeler Loan,Four-Wheeler,1663518,433759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neha Reddy,32,Urban,Salaried,38265,,48702,34,689,0,2,3357,0.088,85240,36,1,0,0,0,,Two/Four Wheeler Loan,Two-Wheeler,97865,12625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaditya Reddy,40,Metro,Salaried,35483,,70449,18,729,1,0,1038,0.029,133348,12,0,0,0,0,,Two/Four Wheeler Loan,Two-Wheeler,174337,40989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yash Kapoor,26,Metro,Salaried,17822,,25254,10,671,0,2,637,0.036,37394,36,0,0,0,0,,Two/Four Wheeler Loan,Two-Wheeler,55551,18157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohit Reddy,34,Metro,Self-Employed,29202,,30851,4,787,0,2,5559,0.19,1233955,36,1,0,1,949514,12.17,Two/Four Wheeler Loan,Four-Wheeler,1550723,316768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivek Patel,39,Rural,Self-Employed,33090,,54871,14,720,0,0,5114,0.155,536273,36,1,1,0,0,,Two/Four Wheeler Loan,Four-Wheeler,765528,229255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rahul Jain,36,Rural,Salaried,55857,,42211,4,719,0,2,1412,0.025,45029,36,1,0,0,0,,Two/Four Wheeler Loan,Two-Wheeler,68085,23056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravi Sharma,33,Rural,Salaried,45154,,48621,7,700,0,0,949,0.021,38270,36,1,0,1,29674,11.7,Two/Four Wheeler Loan,Two-Wheeler,61543,23273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaditya Jain,39,Rural,Salaried,13554,,13831,157,729,0,0,2375,0.175,1195067,48,1,0,1,868371,12.28,Two/Four Wheeler Loan,Four-Wheeler,1440521,245454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amit Singh,18,Metro,Salaried,44861,,51487,21,770,0,4,816,0.018,78786,24,1,0,1,60372,12.6,Two/Four Wheeler Loan,Two-Wheeler,100981,22195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sana Patel,37,Metro,Self-Employed,34224,,57245,27,668,0,2,7032,0.205,1271473,48,1,0,1,954906,12.39,Two/Four Wheeler Loan,Four-Wheeler,1488365,216892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaditya Kapoor,27,Urban,Salaried,29846,,36599,74,681,0,1,5270,0.177,36017,36,1,1,1,27832,11.93,Two/Four Wheeler Loan,Two-Wheeler,59803,23786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaditya Reddy,19,Urban,Salaried,49175,,83156,195,702,0,1,1000,0.02,60507,12,1,0,1,49253,11.43,Two/Four Wheeler Loan,Two-Wheeler,97294,36787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kunal Verma,36,Metro,Salaried,55465,,75695,31,639,0,0,1176,0.021,96624,12,1,0,1,72236,12.03,Two/Four Wheeler Loan,Two-Wheeler,130924,34300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neha Kapoor,42,Metro,Self-Employed,53969,,54676,60,671,0,0,13312,0.247,109155,36,1,0,1,84896,11.67,Two/Four Wheeler Loan,Two-Wheeler,168608,59453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rahul Patel,31,Urban,Salaried,27412,,47011,14,691,0,0,2565,0.094,1330677,48,1,0,1,962116,12.32,Two/Four Wheeler Loan,Four-Wheeler,1789236,458559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amit Gupta,39,Urban,Salaried,35362,,30321,13,772,0,0,3277,0.093,102578,48,1,0,1,75191,12.2,Two/Four Wheeler Loan,Two-Wheeler,143884,41306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sana Patel,43,Metro,Salaried,44969,,37620,19,736,0,0,9138,0.203,159717,48,1,0,0,0,,Two/Four Wheeler Loan,Two-Wheeler,182897,23180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meera Khan,41,Urban,Self-Employed,54633,,68660,40,732,0,2,12938,0.237,727824,36,1,0,1,549221,12.34,Two/Four Wheeler Loan,Four-Wheeler,1080789,352965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivek Patel,43,Urban,Govt,32812,,29244,41,771,0,0,8088,0.246,73195,36,1,1,1,53288,12.26,Two/Four Wheeler Loan,Two-Wheeler,84944,11749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarthak Kapoor,37,Urban,Salaried,37215,,19115,14,712,0,0,7009,0.188,34996,24,1,0,1,26292,11.98,Two/Four Wheeler Loan,Two-Wheeler,53660,18664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravi Gupta,33,Metro,Self-Employed,23405,,34463,5,743,0,1,2202,0.094,1317634,36,1,0,1,1030985,11.81,Two/Four Wheeler Loan,Four-Wheeler,1980239,662605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neha Patel,21,Urban,Govt,22057,,27938,36,714,0,3,460,0.021,319063,36,1,0,1,242025,12.5,Two/Four Wheeler Loan,Four-Wheeler,464175,145112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anjali Sharma,30,Metro,Govt,52188,,60970,5,736,0,1,10139,0.194,161119,12,0,0,1,122447,12.08,Two/Four Wheeler Loan,Two-Wheeler,181205,20086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meera Jain,26,Metro,Salaried,60344,,117698,31,685,0,2,8424,0.14,1072719,24,0,0,1,840429,12,Two/Four Wheeler Loan,Four-Wheeler,1325881,253162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Priya Verma,47,Urban,Salaried,38920,,52807,43,574,0,0,4128,0.106,904638,36,1,0,1,692494,11.81,Two/Four Wheeler Loan,Four-Wheeler,1101785,197147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shruti Reddy,31,Urban,Salaried,55053,,98828,43,712,0,0,12474,0.227,134488,48,1,0,1,102353,11.87,Two/Four Wheeler Loan,Two-Wheeler,169817,35329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rohan Khan,33,Metro,Self-Employed,45425,,32214,50,805,0,1,1263,0.028,174471,60,1,0,1,132744,12.07,Two/Four Wheeler Loan,Two-Wheeler,199690,25219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suresh Yadav,36,Urban,Salaried,30323,,41052,74,776,0,1,3734,0.123,1112481,60,0,0,0,0,,Two/Four Wheeler Loan,Four-Wheeler,1797477,684996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yash Khan,32,Urban,Self-Employed,45421,,81847,25,778,0,3,129,0.003,1351125,36,1,1,1,1133724,11.53,Two/Four Wheeler Loan,Four-Wheeler,1841123,489998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kunal Patel,44,Urban,Salaried,63071,,86701,47,794,0,0,7390,0.117,89152,36,1,0,1,69203,11.69,Two/Four Wheeler Loan,Two-Wheeler,110290,21138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ritika Yadav,28,Urban,Self-Employed,39463,,62234,35,725,0,0,555,0.014,658244,36,1,0,1,513047,11.65,Two/Four Wheeler Loan,Four-Wheeler,842924,184680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sana Verma,33,Urban,Self-Employed,63470,,67155,7,732,0,1,1885,0.03,1032168,48,1,0,1,830210,11.55,Two/Four Wheeler Loan,Four-Wheeler,1347761,315593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Priya Kapoor,27,Urban,Salaried,8000,,5109,1,683,0,1,235,0.029,130325,24,1,1,0,0,,Two/Four Wheeler Loan,Two-Wheeler,181052,50727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kabir Jain,23,Metro,Self-Employed,52329,,62107,12,701,0,0,8493,0.162,147280,36,1,0,1,113821,11.73,Two/Four Wheeler Loan,Two-Wheeler,197613,50333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ritika Khan,28,Metro,Salaried,41306,,45095,21,757,0,0,7704,0.187,103141,48,1,0,0,0,,Two/Four Wheeler Loan,Two-Wheeler,165241,62100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarthak Patel,32,Metro,Self-Employed,35515,,63948,35,792,0,1,5180,0.146,1059157,36,1,0,1,817099,11.94,Two/Four Wheeler Loan,Four-Wheeler,1410496,351339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neha Gupta,29,Urban,Salaried,41376,,35831,68,712,0,1,9953,0.241,68189,36,1,0,1,49798,12.44,Two/Four Wheeler Loan,Two-Wheeler,113204,45015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kabir Singh,27,Urban,Salaried,10186,,19864,8,693,0,1,955,0.094,103542,36,1,0,0,0,,Two/Four Wheeler Loan,Two-Wheeler,160637,57095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meera Jain,22,Metro,Govt,36705,,71105,5,720,0,2,2622,0.071,1294123,24,0,0,1,1007788,12.06,Two/Four Wheeler Loan,Four-Wheeler,1545320,251197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Priya Kapoor,31,Metro,Salaried,45357,,39526,119,756,0,4,9849,0.217,1151284,36,1,0,1,984316,11.54,Two/Four Wheeler Loan,Four-Wheeler,1854452,703168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiran Khan,21,Urban,Self-Employed,62168,,63541,4,633,0,1,3475,0.056,89271,36,1,0,1,71448,11.6,Two/Four Wheeler Loan,Two-Wheeler,103193,13922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarthak Singh,37,Metro,Salaried,32226,,59403,23,582,0,0,7760,0.241,510762,12,1,0,0,0,,Two/Four Wheeler Loan,Four-Wheeler,780069,269307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiran Gupta,33,Urban,Salaried,27873,,54350,32,687,0,1,85,0.003,74217,12,1,0,1,52593,12.7,Two/Four Wheeler Loan,Two-Wheeler,94446,20229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kunal Khan,22,Metro,Salaried,32474,,37837,28,647,0,4,7874,0.242,438981,48,0,0,0,0,,Two/Four Wheeler Loan,Four-Wheeler,689563,250582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yash Kapoor,30,Urban,Salaried,53731,,52737,3,690,0,0,580,0.011,36017,24,1,0,1,27874,11.71,Two/Four Wheeler Loan,Two-Wheeler,56314,20297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suresh Sharma,27,Rural,Salaried,44931,,57922,2,711,0,1,10010,0.223,34676,36,0,1,0,0,,Two/Four Wheeler Loan,Two-Wheeler,52681,18005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiran Gupta,34,Metro,Salaried,32054,,49096,4,693,0,0,4229,0.132,527456,24,1,1,1,413490,11.59,Two/Four Wheeler Loan,Four-Wheeler,795570,268114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neha Reddy,41,Urban,Salaried,47699,,43416,32,807,0,0,11841,0.248,92314,60,0,1,1,73233,11.48,Two/Four Wheeler Loan,Two-Wheeler,114166,21852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anjali Verma,19,Metro,Salaried,41456,,66525,28,740,0,2,765,0.018,94271,24,1,0,1,73823,12,Two/Four Wheeler Loan,Two-Wheeler,107649,13378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amit Reddy,33,Urban,Govt,54530,,31490,10,738,0,1,7550,0.138,953398,36,1,0,0,0,,Two/Four Wheeler Loan,Four-Wheeler,1223708,270310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ritika Yadav,31,Urban,Govt,29469,,16913,37,757,0,0,7141,0.242,826552,48,1,0,1,642105,11.68,Two/Four Wheeler Loan,Four-Wheeler,974773,148221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rahul Yadav,37,Metro,Salaried,35085,,37872,62,652,0,2,4588,0.131,932660,48,0,0,1,674492,12.72,Two/Four Wheeler Loan,Four-Wheeler,1348721,416061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shruti Kapoor,33,Urban,Self-Employed,34118,,35149,2,782,0,0,5368,0.157,526776,24,0,0,1,395318,11.99,Two/Four Wheeler Loan,Four-Wheeler,661638,134862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amit Jain,27,Rural,Salaried,18047,,17568,25,715,1,2,3139,0.174,38511,48,1,0,1,24499,15.27,Two/Four Wheeler Loan,Two-Wheeler,63412,24901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rohan Yadav,30,Metro,Self-Employed,44442,,54954,42,760,0,2,5050,0.114,79714,36,0,0,1,58878,12.54,Two/Four Wheeler Loan,Two-Wheeler,112637,32923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yash Patel,26,Metro,Self-Employed,43916,,43086,10,656,0,3,6890,0.157,118806,36,1,0,0,0,,Two/Four Wheeler Loan,Two-Wheeler,181868,63062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rohan Sharma,40,Rural,Govt,40077,,31596,13,627,0,1,5854,0.146,164917,24,1,0,0,0,,Two/Four Wheeler Loan,Two-Wheeler,191710,26793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rohan Gupta,32,Urban,Salaried,36481,,35175,34,769,1,0,8219,0.225,590279,12,1,1,1,453750,13.28,Two/Four Wheeler Loan,Four-Wheeler,920304,330025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sana Jain,45,Rural,Self-Employed,18769,,36831,82,743,0,3,213,0.011,88498,48,1,0,0,0,,Two/Four Wheeler Loan,Two-Wheeler,142012,53514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sana Singh,32,Urban,Salaried,33690,,37621,60,666,0,1,2366,0.07,56583,36,1,0,0,0,,Two/Four Wheeler Loan,Two-Wheeler,75055,18472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohit Patel,27,Rural,Govt,34859,,40683,31,668,0,4,8283,0.238,142673,36,1,1,1,108673,12.66,Two/Four Wheeler Loan,Two-Wheeler,198675,56002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anjali Verma,21,Metro,Salaried,27966,,38168,47,788,0,1,6224,0.223,755089,48,1,0,1,591349,11.8,Two/Four Wheeler Loan,Four-Wheeler,1126063,370974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meera Kapoor,19,Urban,Salaried,37581,,74223,16,649,0,1,4281,0.114,162229,48,1,0,0,0,,Two/Four Wheeler Loan,Two-Wheeler,191410,29181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anjali Reddy,21,Rural,Self-Employed,46061,,39723,37,819,0,1,7141,0.155,110472,24,1,0,0,0,,Two/Four Wheeler Loan,Two-Wheeler,147447,36975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaditya Reddy,34,Urban,Self-Employed,68293,,103937,23,666,0,1,4736,0.069,110162,36,1,0,1,87631,11.65,Two/Four Wheeler Loan,Two-Wheeler,141161,30999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yash Jain,36,Metro,Salaried,42619,,67081,8,758,0,1,2004,0.047,1054390,24,1,1,1,865140,11.35,Two/Four Wheeler Loan,Four-Wheeler,1231638,177248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rohan Khan,21,Metro,Govt,43863,,61890,44,700,0,2,5085,0.116,66812,48,1,0,1,52766,11.92,Two/Four Wheeler Loan,Two-Wheeler,84600,17788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohit Yadav,38,Metro,Salaried,38883,,24608,29,756,0,0,3435,0.088,1518288,36,1,0,1,1253296,11.09,Two/Four Wheeler Loan,Four-Wheeler,1726213,207925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shruti Singh,29,Metro,Salaried,11218,,16999,16,687,0,2,1637,0.146,972042,60,1,0,1,733590,12.34,Two/Four Wheeler Loan,Four-Wheeler,1089420,117378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suresh Khan,33,Metro,Salaried,39602,,23608,87,710,0,1,770,0.019,67008,12,1,0,0,0,,Two/Four Wheeler Loan,Two-Wheeler,77966,10958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suresh Gupta,43,Urban,Salaried,40903,,57028,1,722,0,2,9964,0.244,847812,12,1,1,1,677269,11.81,Two/Four Wheeler Loan,Four-Wheeler,1387432,539620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kunal Jain,38,Urban,Salaried,76949,,123840,14,660,1,0,18972,0.247,1125386,24,1,0,0,0,,Two/Four Wheeler Loan,Four-Wheeler,1530844,405458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiran Sharma,30,Metro,Salaried,37115,,30303,2,764,0,2,6478,0.175,407202,24,1,0,1,302679,12.48,Two/Four Wheeler Loan,Four-Wheeler,667267,260065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shruti Kapoor,26,Urban,Salaried,44523,,78469,52,689,0,3,5967,0.134,150480,24,1,0,1,114890,12.44,Two/Four Wheeler Loan,Two-Wheeler,195365,44885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kabir Reddy,18,Metro,Salaried,39479,,21537,44,706,0,1,3055,0.077,147233,60,1,0,1,109470,12.28,Two/Four Wheeler Loan,Two-Wheeler,182568,35335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shruti Singh,27,Metro,Salaried,22470,,39676,14,660,1,0,4571,0.203,1180774,24,1,1,1,843843,13.92,Two/Four Wheeler Loan,Four-Wheeler,1578243,397469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kunal Reddy,31,Metro,Self-Employed,57142,,68027,41,566,0,1,9782,0.171,153042,24,0,0,0,0,,Two/Four Wheeler Loan,Two-Wheeler,199236,46194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amit Singh,25,Urban,Self-Employed,51279,,42376,18,709,0,2,2085,0.041,1006716,48,0,0,1,824402,11.57,Two/Four Wheeler Loan,Four-Wheeler,1159409,152693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shruti Singh,31,Metro,Salaried,51865,,36340,51,865,0,0,11811,0.228,1239043,36,1,0,1,1001140,11.3,Two/Four Wheeler Loan,Four-Wheeler,1750673,511630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravi Reddy,33,Metro,Salaried,26359,,50872,22,767,0,0,5420,0.206,1410694,48,1,0,1,1105294,11.6,Two/Four Wheeler Loan,Four-Wheeler,1689072,278378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohit Kapoor,30,Metro,Salaried,61042,,37174,19,719,0,0,14494,0.237,110263,12,1,0,1,87142,11.52,Two/Four Wheeler Loan,Two-Wheeler,154403,44140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rahul Gupta,27,Rural,Salaried,18972,,15152,98,704,0,1,3442,0.181,51520,36,1,1,1,37501,12.47,Two/Four Wheeler Loan,Two-Wheeler,73084,21564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiran Khan,33,Metro,Self-Employed,48803,,49864,10,721,0,3,7484,0.153,623148,12,0,0,1,482638,12.31,Two/Four Wheeler Loan,Four-Wheeler,729346,106198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anjali Gupta,35,Urban,Salaried,72857,,104211,5,753,1,0,7618,0.105,510506,12,1,1,0,0,,Two/Four Wheeler Loan,Four-Wheeler,579071,68565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ritika Reddy,24,Urban,Salaried,25142,,33117,32,649,0,2,5863,0.233,55641,60,1,0,0,0,,Two/Four Wheeler Loan,Two-Wheeler,83573,27932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiran Singh,42,Urban,Salaried,31506,,21691,125,787,0,1,6822,0.217,374430,24,1,0,0,0,,Two/Four Wheeler Loan,Four-Wheeler,491339,116909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kabir Singh,31,Rural,Salaried,41495,,38781,17,763,0,2,469,0.011,1103075,36,0,0,1,843900,12.22,Two/Four Wheeler Loan,Four-Wheeler,1249871,146796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivek Khan,32,Metro,Self-Employed,32448,,27845,2,763,0,3,214,0.007,82419,36,1,0,1,62491,12.5,Two/Four Wheeler Loan,Two-Wheeler,137013,54594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neha Reddy,37,Metro,Govt,16740,,13732,15,746,0,1,1575,0.094,56246,36,1,1,1,43689,11.88,Two/Four Wheeler Loan,Two-Wheeler,63723,7477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
