name,age,city_tier,employment_type,monthly_income,co_applicant_income,existing_emi,dti,cibil_score,property_value,down_payment,loan_amount_requested,ltv,property_age,builder_grade,legal_issue_flag,tenure_years,job_tenure_months,loan_status,approved_amount,interest_rate
Suresh Verma,41.0,Rural,Self-Employed,66929.0,,12688.0,0.19,784.0,14110093.0,1804641.0,12305452.0,0.872,9.0,,0.0,10.0,57.0,0.0,,
,37.0,Rural,Salaried,46400.0,15214.0,10288.0,0.222,729.0,4817740.0,1331916.0,3485824.0,0.724,21.0,A,0.0,15.0,71.0,1.0,2404501.0,13.27
Rahul Yadav,25.0,Metro,Salaried,64645.0,37561.0,5835.0,0.09,741.0,11180726.0,2731360.0,8449366.0,0.756,18.0,A,0.0,20.0,,1.0,,12.3
Anjali Yadav,34.0,Metro,Salaried,65861.0,22046.0,,0.049,750.0,2836853.0,830340.0,2006513.0,0.707,0.0,A,1.0,20.0,8.0,0.0,,
Kiran Verma,30.0,Urban,,45713.0,18107.0,,0.292,638.0,,1141647.0,8415401.0,0.881,6.0,C,0.0,25.0,100.0,1.0,5873244.0,13.66
Yash Jain,51.0,Rural,Salaried,97315.0,28395.0,33529.0,0.345,728.0,15367103.0,4210511.0,11156592.0,0.726,3.0,A,0.0,10.0,37.0,0.0,0.0,
Ritika Kapoor,35.0,Rural,Salaried,69477.0,14471.0,,0.184,706.0,7603859.0,2041221.0,5562638.0,0.732,,A,0.0,15.0,16.0,0.0,,
Vivek Khan,37.0,Metro,Salaried,36174.0,21695.0,2174.0,0.06,690.0,13633323.0,3656430.0,9976893.0,0.732,14.0,A,0.0,15.0,27.0,0.0,0.0,
Yash Yadav,40.0,Metro,Salaried,,12032.0,6970.0,0.095,726.0,16113549.0,4528653.0,11584896.0,0.719,39.0,C,0.0,15.0,2.0,1.0,8814584.0,12.55
Aaditya Sharma,36.0,Urban,Self-Employed,40506.0,59471.0,261.0,0.006,830.0,18616379.0,5639653.0,12976726.0,0.697,11.0,B,,20.0,7.0,1.0,10140243.0,12.28
Amit Patel,48.0,Urban,Salaried,75742.0,30529.0,24238.0,0.32,772.0,5458200.0,1863957.0,3594243.0,0.659,21.0,,0.0,25.0,70.0,1.0,2738474.0,12.36
Anjali Reddy,32.0,Metro,Self-Employed,83172.0,19504.0,3428.0,0.041,711.0,8587002.0,1553786.0,7033216.0,0.819,21.0,A,0.0,30.0,1.0,0.0,0.0,
Aaditya Yadav,37.0,Rural,Salaried,43586.0,33210.0,8795.0,0.202,769.0,3895904.0,1353884.0,2542020.0,0.652,16.0,A,0.0,25.0,26.0,0.0,0.0,
Ritika Kapoor,,Urban,Salaried,79268.0,28315.0,7603.0,0.096,,19857187.0,4953906.0,14903281.0,0.751,28.0,A,1.0,15.0,35.0,0.0,0.0,
,27.0,,Salaried,68256.0,26685.0,13239.0,0.194,786.0,18613018.0,2291588.0,16321430.0,0.877,13.0,C,0.0,20.0,3.0,0.0,0.0,
Amit Yadav,32.0,Rural,Salaried,76441.0,39213.0,17428.0,0.228,743.0,11259185.0,1323689.0,9935496.0,0.882,19.0,B,0.0,15.0,,,0.0,
Shruti Singh,36.0,Urban,Salaried,97936.0,41363.0,28442.0,,,16998633.0,3404342.0,13594291.0,0.8,,,0.0,15.0,12.0,0.0,0.0,
Anjali Khan,33.0,Metro,Self-Employed,,22042.0,3980.0,0.072,775.0,10898202.0,3656010.0,7242192.0,0.665,14.0,C,0.0,20.0,17.0,1.0,5737252.0,12.07
Ritika Jain,31.0,,Salaried,44925.0,21363.0,173.0,0.004,760.0,12848128.0,4012525.0,8835603.0,0.688,11.0,A,0.0,10.0,17.0,1.0,6539013.0,12.66
Yash Jain,26.0,Metro,Self-Employed,,25874.0,2022.0,0.048,785.0,2693364.0,906545.0,1786819.0,0.663,39.0,B,0.0,15.0,13.0,1.0,1416123.0,12.06
Shruti Verma,35.0,Urban,Salaried,43684.0,,13761.0,0.315,772.0,15350138.0,,11433079.0,0.745,,C,0.0,,1.0,1.0,8322969.0,12.96
Kiran Kapoor,25.0,Metro,Salaried,58458.0,7272.0,17880.0,0.306,792.0,3426556.0,795166.0,2631390.0,0.768,29.0,A,0.0,20.0,63.0,1.0,1945582.0,12.91
Neha Jain,41.0,Urban,Self-Employed,66823.0,50503.0,13972.0,0.209,713.0,16695285.0,2408057.0,14287228.0,0.856,37.0,B,0.0,20.0,164.0,1.0,10996955.0,12.87
Anjali Patel,37.0,Metro,Salaried,65534.0,54675.0,13774.0,0.21,806.0,15858534.0,3147250.0,12711284.0,0.802,2.0,A,0.0,10.0,12.0,0.0,0.0,
,26.0,Metro,Salaried,76544.0,26264.0,17817.0,0.233,,14466149.0,3330192.0,11135957.0,0.77,27.0,A,0.0,15.0,,1.0,8593605.0,12.59
Ritika Sharma,34.0,Metro,Salaried,60260.0,38648.0,3699.0,0.061,844.0,,213547.0,1473500.0,0.873,25.0,A,0.0,30.0,65.0,0.0,0.0,
Rahul Sharma,31.0,Metro,Salaried,89071.0,34669.0,28507.0,0.32,706.0,6759439.0,,5636131.0,0.834,29.0,A,0.0,15.0,91.0,0.0,0.0,
Ritika Jain,38.0,Urban,Self-Employed,54707.0,76183.0,8018.0,0.147,827.0,5999139.0,1676565.0,4322574.0,0.721,12.0,B,0.0,20.0,26.0,1.0,3424170.0,12.24
Rohan Gupta,45.0,Urban,Salaried,114403.0,,15341.0,0.134,750.0,7842592.0,2515111.0,5327481.0,0.679,12.0,C,0.0,10.0,17.0,,4412331.0,11.75
Yash Yadav,23.0,,Self-Employed,72513.0,28081.0,13170.0,0.182,707.0,2665212.0,1064764.0,1600448.0,0.6,1.0,B,0.0,20.0,19.0,1.0,1209898.0,12.24
Mohit Kapoor,37.0,Metro,Govt,42857.0,15667.0,704.0,0.016,716.0,18802199.0,7143595.0,11658604.0,0.62,36.0,C,0.0,10.0,60.0,0.0,0.0,
,35.0,Metro,Salaried,38582.0,5903.0,2245.0,0.058,724.0,11522243.0,3373362.0,,0.707,,B,0.0,25.0,81.0,0.0,0.0,
Sana Kapoor,,Metro,Govt,69649.0,33052.0,17991.0,0.258,761.0,6804962.0,1540469.0,5264493.0,,1.0,A,,25.0,10.0,0.0,0.0,
Kunal Kapoor,37.0,Metro,Salaried,55531.0,18655.0,1609.0,0.029,766.0,8542649.0,2484657.0,6057992.0,0.709,35.0,A,0.0,25.0,22.0,0.0,0.0,
Rahul Gupta,31.0,Rural,Govt,74280.0,8666.0,15681.0,0.211,,9496848.0,3188049.0,6308799.0,0.664,,,,15.0,111.0,1.0,,11.91
Vivek Yadav,34.0,Metro,,69465.0,20301.0,5965.0,0.086,739.0,12411292.0,1681741.0,10729551.0,0.864,10.0,B,0.0,25.0,79.0,1.0,8555444.0,12.62
Suresh Khan,30.0,Metro,Self-Employed,58543.0,13777.0,7977.0,0.136,847.0,10797909.0,2407626.0,8390283.0,0.777,7.0,C,0.0,20.0,201.0,0.0,0.0,
Ritika Sharma,,Metro,Salaried,43064.0,55307.0,4351.0,0.101,826.0,18468447.0,6499798.0,11968649.0,0.648,39.0,,0.0,20.0,67.0,1.0,9234960.0,12.23
Suresh Singh,36.0,Metro,Salaried,29703.0,43225.0,3698.0,0.124,762.0,10442306.0,2246661.0,,0.785,21.0,B,0.0,25.0,24.0,1.0,6229832.0,12.75
Kiran Kapoor,49.0,Urban,Self-Employed,,29880.0,12853.0,0.252,742.0,19851002.0,5390771.0,14460231.0,0.728,19.0,B,0.0,10.0,43.0,1.0,10870192.0,12.67
Yash Reddy,36.0,Urban,Self-Employed,77128.0,52199.0,8021.0,0.104,746.0,17177074.0,,12430519.0,0.724,7.0,B,1.0,15.0,52.0,1.0,8259730.0,13.53
Neha Jain,31.0,,Salaried,64282.0,31161.0,12743.0,0.198,771.0,4961700.0,770765.0,4190935.0,0.845,28.0,A,0.0,25.0,,1.0,,13.09
Priya Khan,25.0,Metro,Salaried,1370550.0,17081.0,5846.0,0.167,689.0,99686200.0,3898241.0,70368000.0,0.791,39.0,A,0.0,15.0,38.0,1.0,11019971.0,12.92
Sarthak Patel,23.0,,Self-Employed,63464.0,52847.0,14742.0,,,3210962.0,643327.0,2567635.0,,25.0,A,0.0,20.0,59.0,1.0,1942385.0,12.84
Vivek Kapoor,25.0,,Self-Employed,67706.0,38084.0,22200.0,0.328,657.0,16531544.0,1783076.0,14748468.0,0.892,29.0,A,0.0,20.0,,1.0,11072265.0,13.17
,38.0,Metro,Govt,42323.0,14441.0,10852.0,0.256,760.0,8231843.0,882927.0,,0.893,16.0,A,0.0,30.0,73.0,0.0,0.0,
Amit Jain,40.0,Rural,Self-Employed,63075.0,27145.0,4745.0,,772.0,17681512.0,6179850.0,11501662.0,0.65,19.0,B,0.0,30.0,42.0,1.0,9775029.0,11.45
Rohan Gupta,,Urban,Govt,61164.0,16866.0,668.0,0.011,716.0,17493077.0,3182362.0,14310715.0,0.818,15.0,A,0.0,30.0,146.0,1.0,11146735.0,
Vivek Khan,,Urban,Self-Employed,,9258.0,3409.0,0.092,819.0,16312583.0,,12145964.0,0.745,6.0,C,0.0,15.0,2.0,1.0,10005009.0,12.0
Kunal Kapoor,33.0,Metro,Salaried,67156.0,43893.0,13987.0,0.208,679.0,16010578.0,3035889.0,12974689.0,,15.0,B,0.0,15.0,15.0,1.0,10099564.0,12.65
Yash Sharma,37.0,Metro,Salaried,1370550.0,58641.0,1282.0,0.018,,99686200.0,2594745.0,70368000.0,0.618,26.0,B,0.0,20.0,44.0,1.0,,12.02
Ritika Singh,47.0,Urban,Self-Employed,81661.0,9021.0,14187.0,0.174,751.0,2537466.0,451134.0,2086332.0,0.822,22.0,A,0.0,10.0,17.0,0.0,0.0,
,42.0,Urban,Self-Employed,81076.0,38445.0,16936.0,0.209,792.0,,1981475.0,6675148.0,0.771,23.0,B,,10.0,60.0,1.0,,
Meera Patel,,Urban,Salaried,32447.0,20240.0,3796.0,0.117,824.0,4296966.0,1554724.0,2742242.0,0.638,8.0,,0.0,20.0,68.0,0.0,0.0,
Yash Reddy,30.0,Metro,Salaried,41243.0,22693.0,11128.0,0.27,717.0,14204071.0,5008072.0,9195999.0,0.647,34.0,A,0.0,20.0,5.0,1.0,6858320.0,12.48
Kabir Singh,21.0,Urban,Govt,70301.0,21114.0,2623.0,0.037,794.0,7575895.0,1180555.0,6395340.0,0.844,19.0,A,0.0,30.0,35.0,1.0,,12.49
Amit Singh,31.0,Metro,,1370550.0,17040.0,1848.0,0.026,738.0,99686200.0,6657934.0,70368000.0,0.659,36.0,B,0.0,15.0,34.0,0.0,0.0,
Priya Reddy,35.0,Rural,Salaried,70301.0,30728.0,17917.0,0.255,731.0,13178469.0,3129307.0,10049162.0,0.763,16.0,A,0.0,15.0,22.0,1.0,7374125.0,12.95
Sarthak Khan,,Urban,Salaried,137055.0,17536.0,23768.0,0.173,784.0,,4071829.0,12555302.0,0.755,30.0,A,0.0,15.0,130.0,1.0,10200392.0,12.14
Ritika Kapoor,35.0,Urban,,71418.0,34057.0,17208.0,0.241,773.0,3517969.0,492670.0,3025299.0,0.86,7.0,A,,30.0,84.0,0.0,0.0,
,37.0,Metro,Salaried,82711.0,29246.0,,0.152,661.0,17378275.0,2158042.0,15220233.0,0.876,14.0,A,0.0,25.0,57.0,0.0,0.0,
Ravi Verma,34.0,Urban,Salaried,,26416.0,6820.0,0.086,814.0,18532387.0,5900375.0,12632012.0,,30.0,B,0.0,25.0,60.0,0.0,0.0,
Sana Gupta,31.0,Metro,Salaried,73028.0,16387.0,20936.0,0.287,809.0,10254176.0,2552658.0,7701518.0,0.751,29.0,A,1.0,30.0,30.0,0.0,0.0,
Rahul Jain,37.0,Metro,Self-Employed,53695.0,21348.0,15024.0,0.28,,,2892535.0,9626271.0,0.769,19.0,C,0.0,20.0,122.0,0.0,0.0,
Priya Khan,39.0,Metro,Salaried,,41331.0,,0.243,760.0,15531386.0,4952221.0,10579165.0,0.681,38.0,,0.0,20.0,57.0,1.0,8330025.0,12.17
Meera Khan,28.0,Urban,Self-Employed,44543.0,37514.0,4243.0,0.095,765.0,4321934.0,1424742.0,2897192.0,0.67,11.0,B,0.0,20.0,63.0,1.0,2209605.0,12.38
Aaditya Yadav,46.0,Metro,Govt,55264.0,15337.0,11416.0,0.207,753.0,10548755.0,1557760.0,8990995.0,,16.0,B,0.0,20.0,95.0,0.0,0.0,
,35.0,,Salaried,,31490.0,6354.0,0.126,712.0,8574598.0,2427190.0,6147408.0,0.717,,C,0.0,20.0,15.0,1.0,4505354.0,12.82
Rohan Verma,36.0,Rural,Self-Employed,1370550.0,41271.0,1976.0,0.032,706.0,99686200.0,531647.0,70368000.0,0.859,28.0,A,0.0,20.0,79.0,1.0,2583577.0,12.63
Rahul Kapoor,41.0,Metro,Salaried,106293.0,4959.0,34126.0,0.321,739.0,7983154.0,2597818.0,5385336.0,0.675,18.0,C,0.0,30.0,10.0,0.0,0.0,
,38.0,,Govt,22655.0,38150.0,1085.0,,799.0,2295274.0,681895.0,1613379.0,0.703,10.0,B,0.0,30.0,20.0,1.0,1234144.0,12.46
Kabir Khan,43.0,Metro,Salaried,73725.0,,24520.0,0.333,767.0,1490426.0,576772.0,913654.0,0.613,33.0,B,,25.0,20.0,1.0,735764.0,11.79
Priya Khan,38.0,Metro,Self-Employed,27746.0,38559.0,4331.0,0.156,721.0,3568159.0,430632.0,3137527.0,0.879,6.0,,0.0,25.0,,,2260476.0,13.43
Kiran Singh,32.0,Urban,Self-Employed,50561.0,18551.0,3276.0,0.065,779.0,19299187.0,2260252.0,17038935.0,0.883,,A,,25.0,93.0,,13315047.0,12.83
Kiran Kapoor,39.0,Metro,Salaried,81779.0,2927.0,15511.0,0.19,598.0,11441061.0,2112662.0,9328399.0,0.815,19.0,A,0.0,15.0,58.0,1.0,6931542.0,13.01
,28.0,Metro,Salaried,1370550.0,5587.0,18725.0,0.306,797.0,99686200.0,3454312.0,70368000.0,0.821,37.0,B,0.0,,62.0,0.0,0.0,
Priya Jain,37.0,Urban,Self-Employed,,30721.0,9853.0,0.256,653.0,9217460.0,1604701.0,7612759.0,0.826,23.0,A,,25.0,40.0,0.0,0.0,
Ritika Kapoor,36.0,Urban,Self-Employed,45694.0,33896.0,12899.0,0.282,722.0,6924507.0,2575061.0,4349446.0,0.628,9.0,B,0.0,25.0,141.0,1.0,3218004.0,12.49
Rohan Reddy,,Urban,Salaried,73592.0,16435.0,16968.0,0.231,684.0,10616695.0,1856476.0,8760219.0,0.825,31.0,A,0.0,10.0,33.0,0.0,0.0,
Amit Gupta,35.0,Metro,Self-Employed,45393.0,39579.0,,0.242,675.0,9350722.0,1697950.0,,0.818,14.0,A,0.0,30.0,23.0,,5484732.0,13.29
Neha Reddy,23.0,Metro,Salaried,64329.0,5077.0,19120.0,0.297,798.0,3007629.0,985959.0,2021670.0,0.672,36.0,A,0.0,10.0,9.0,1.0,1523307.0,12.48
Rahul Khan,32.0,Urban,,60911.0,29009.0,5323.0,0.087,717.0,13175700.0,,,0.765,,A,0.0,15.0,74.0,,0.0,
,37.0,Urban,Salaried,46968.0,11835.0,8046.0,0.171,757.0,5104725.0,1699941.0,3404784.0,,2.0,B,0.0,,64.0,1.0,2623400.0,12.3
Rahul Verma,37.0,Urban,Govt,102879.0,20222.0,7965.0,0.077,738.0,12772171.0,1527677.0,11244494.0,0.88,36.0,A,0.0,15.0,23.0,0.0,0.0,
Sarthak Yadav,29.0,Urban,Salaried,72678.0,30711.0,25124.0,0.346,764.0,13353821.0,,10065157.0,0.754,,C,0.0,10.0,1.0,1.0,7778701.0,12.53
Priya Patel,45.0,Urban,Salaried,19497.0,17094.0,6442.0,0.33,744.0,3888472.0,428059.0,,0.89,7.0,B,0.0,20.0,88.0,0.0,0.0,
,30.0,,Salaried,63729.0,24232.0,879.0,0.014,676.0,2165643.0,257270.0,1908373.0,0.881,39.0,A,0.0,25.0,1.0,1.0,1456205.0,13.01
Neha Patel,43.0,,Salaried,46764.0,45094.0,11548.0,0.247,790.0,15834470.0,5889334.0,9945136.0,0.628,22.0,B,0.0,20.0,58.0,1.0,7894871.0,
Priya Verma,39.0,Urban,Salaried,77049.0,21347.0,24951.0,0.324,715.0,9736208.0,,8355871.0,0.858,39.0,C,0.0,25.0,169.0,1.0,6169036.0,
Vivek Khan,31.0,Metro,,44150.0,42535.0,2790.0,0.063,662.0,2105112.0,546753.0,1558359.0,0.74,10.0,B,0.0,20.0,28.0,0.0,0.0,
Neha Khan,48.0,Metro,Self-Employed,57705.0,13054.0,11471.0,0.199,719.0,,4444790.0,15457670.0,0.777,7.0,A,0.0,10.0,,0.0,0.0,
Aaditya Sharma,28.0,Rural,Salaried,70100.0,37947.0,22462.0,0.32,815.0,2097831.0,,1669448.0,0.796,28.0,C,1.0,30.0,59.0,0.0,0.0,
Yash Yadav,42.0,,Salaried,77315.0,51624.0,919.0,0.012,783.0,14205669.0,5255387.0,8950282.0,,,B,0.0,10.0,82.0,1.0,7551483.0,11.45
Amit Jain,,Metro,Salaried,35994.0,0.0,8786.0,0.244,723.0,19689900.0,2097900.0,17592000.0,0.893,9.0,A,0.0,30.0,38.0,,11758915.0,13.99
Ritika Gupta,31.0,Metro,Salaried,53310.0,18047.0,5548.0,0.104,723.0,,1658541.0,3885881.0,0.701,,A,1.0,20.0,164.0,0.0,0.0,
Amit Verma,46.0,Metro,Salaried,50501.0,38656.0,16339.0,0.324,724.0,3702738.0,1440433.0,2262305.0,0.611,27.0,B,0.0,,3.0,0.0,0.0,
Mohit Kapoor,34.0,Urban,Salaried,46933.0,26954.0,15951.0,0.34,844.0,3306314.0,886259.0,2420055.0,0.732,35.0,A,0.0,15.0,34.0,0.0,0.0,
Vivek Singh,,Rural,Salaried,95309.0,35567.0,31499.0,0.33,759.0,6762228.0,2576725.0,4185503.0,0.619,12.0,B,0.0,,61.0,1.0,3250052.0,12.09
,38.0,Metro,Salaried,68100.0,,11303.0,0.166,762.0,2919870.0,337763.0,2582107.0,0.884,31.0,A,0.0,15.0,95.0,0.0,0.0,
,35.0,Metro,Salaried,34782.0,31299.0,10494.0,0.302,,14151065.0,3193018.0,10958047.0,0.774,35.0,C,0.0,10.0,9.0,1.0,8169385.0,12.87
Ritika Jain,42.0,Rural,Salaried,78357.0,27665.0,23162.0,0.296,752.0,,388774.0,1794770.0,,36.0,B,0.0,25.0,77.0,0.0,0.0,
Kunal Reddy,42.0,Metro,Salaried,102443.0,47517.0,11441.0,0.112,727.0,10679020.0,3409238.0,7269782.0,0.681,25.0,A,0.0,15.0,39.0,0.0,0.0,
Meera Singh,24.0,Urban,Salaried,80649.0,33816.0,23398.0,0.29,730.0,19937240.0,,,0.606,21.0,A,0.0,20.0,24.0,1.0,9609785.0,11.86
Ritika Reddy,45.0,Rural,Govt,29613.0,35064.0,384.0,0.013,736.0,16465435.0,2913707.0,13551728.0,0.823,3.0,B,0.0,15.0,,1.0,10557286.0,12.68
Anjali Patel,24.0,Metro,Salaried,50315.0,23822.0,,0.209,738.0,12689169.0,3759197.0,8929972.0,0.704,30.0,B,0.0,20.0,96.0,0.0,0.0,
Rahul Jain,43.0,Urban,Self-Employed,85338.0,22686.0,6870.0,0.081,776.0,6818819.0,1087119.0,5731700.0,0.841,17.0,B,0.0,25.0,8.0,0.0,0.0,
Mohit Verma,44.0,Metro,Salaried,45847.0,23512.0,1935.0,0.042,743.0,12854021.0,3465432.0,9388589.0,0.73,37.0,A,0.0,20.0,18.0,0.0,0.0,
Sarthak Reddy,,Metro,Self-Employed,68876.0,35917.0,1855.0,0.027,777.0,11013788.0,2634275.0,8379513.0,0.761,23.0,A,0.0,25.0,16.0,1.0,6852260.0,12.11
Kiran Yadav,33.0,Urban,Self-Employed,75493.0,23685.0,18398.0,0.244,736.0,9095584.0,3561845.0,,0.608,22.0,A,0.0,25.0,98.0,1.0,4326918.0,12.0
Neha Yadav,28.0,Metro,Salaried,41461.0,34347.0,4932.0,,744.0,3483497.0,984291.0,2499206.0,0.717,21.0,B,0.0,,54.0,1.0,,12.54
Neha Khan,34.0,Rural,Govt,58809.0,61131.0,14918.0,0.254,640.0,17845480.0,3655681.0,14189799.0,0.795,1.0,A,0.0,,76.0,0.0,0.0,
Kabir Patel,34.0,Urban,Salaried,10000.0,43067.0,229.0,0.023,786.0,,,8264573.0,,30.0,A,,25.0,14.0,0.0,0.0,
Kiran Yadav,41.0,Metro,Salaried,39512.0,25110.0,4360.0,,757.0,4697828.0,682942.0,4014886.0,0.855,10.0,B,0.0,30.0,47.0,1.0,2866855.0,13.42
Amit Khan,45.0,,Self-Employed,,48018.0,,0.189,790.0,7987428.0,1338654.0,6648774.0,0.832,27.0,C,0.0,25.0,41.0,1.0,5425132.0,12.34
Aaditya Jain,46.0,Metro,Self-Employed,,,9699.0,0.277,595.0,8868465.0,1554553.0,7313912.0,0.825,,,,20.0,,0.0,0.0,
,32.0,Metro,Salaried,92648.0,0.0,10336.0,0.112,844.0,16723220.0,5939834.0,10783386.0,0.645,4.0,,0.0,25.0,114.0,1.0,8624632.0,11.94
Ravi Sharma,35.0,Metro,Salaried,31397.0,14879.0,6878.0,,733.0,14938673.0,4009044.0,10929629.0,0.732,37.0,B,0.0,25.0,1.0,1.0,7569329.0,13.27
Kunal Kapoor,24.0,Metro,Salaried,51199.0,1938.0,15876.0,0.31,795.0,15616793.0,4013786.0,11603007.0,0.743,9.0,B,0.0,25.0,54.0,0.0,,
Kunal Singh,30.0,Metro,,62615.0,24727.0,,0.216,688.0,1209594.0,162607.0,1046987.0,,39.0,A,0.0,10.0,3.0,1.0,771694.0,13.23
Kabir Singh,43.0,Urban,,88825.0,30276.0,7242.0,0.082,771.0,8906926.0,3189053.0,5717873.0,0.642,23.0,C,0.0,15.0,38.0,1.0,4575259.0,
Kabir Khan,,Urban,Salaried,31283.0,55147.0,267.0,0.009,687.0,10145539.0,3214556.0,6930983.0,0.683,34.0,B,,,16.0,1.0,5269928.0,12.45
Shruti Singh,27.0,Urban,Salaried,83263.0,34904.0,25356.0,,709.0,1364653.0,164168.0,1200485.0,,22.0,A,,15.0,18.0,1.0,914451.0,13.02
Sana Yadav,32.0,,Salaried,60205.0,26713.0,,0.007,836.0,5936451.0,1854254.0,4082197.0,,16.0,A,0.0,25.0,21.0,1.0,3515771.0,11.45
Rohan Kapoor,36.0,Metro,Salaried,40370.0,42441.0,,0.306,730.0,15445507.0,4063118.0,11382389.0,0.737,0.0,B,0.0,20.0,47.0,1.0,8290279.0,
Anjali Jain,38.0,Urban,Salaried,69242.0,,12819.0,,751.0,3605084.0,448896.0,,,,B,0.0,20.0,20.0,1.0,2475583.0,12.78
Vivek Gupta,30.0,Metro,Self-Employed,63981.0,33534.0,21029.0,0.329,784.0,,2652977.0,8517915.0,,30.0,A,0.0,,63.0,1.0,6824521.0,12.28
Priya Yadav,39.0,Metro,Govt,47996.0,41563.0,13418.0,0.28,765.0,5088836.0,1248846.0,3839990.0,0.755,33.0,B,,15.0,25.0,1.0,2960703.0,12.55
Priya Singh,33.0,Urban,,61396.0,7821.0,21444.0,0.349,748.0,1230295.0,184215.0,1046080.0,0.85,8.0,B,0.0,30.0,3.0,0.0,0.0,
Meera Verma,36.0,Urban,,52294.0,47156.0,6419.0,,758.0,5582828.0,2142184.0,3440644.0,0.616,21.0,A,0.0,30.0,74.0,0.0,0.0,
Shruti Verma,40.0,Urban,Govt,62270.0,35077.0,16720.0,,860.0,19541601.0,6937124.0,12604477.0,0.645,12.0,B,0.0,25.0,16.0,1.0,10074503.0,11.94
Ritika Gupta,36.0,Metro,Self-Employed,73243.0,,10304.0,0.141,737.0,16229205.0,4880231.0,11348974.0,0.699,24.0,C,0.0,,27.0,1.0,9077635.0,12.1
Priya Khan,33.0,Urban,Self-Employed,91720.0,39492.0,15405.0,0.168,750.0,19231956.0,4590450.0,14641506.0,0.761,17.0,A,0.0,25.0,56.0,1.0,12330548.0,11.86
Kunal Patel,35.0,Urban,Salaried,35244.0,64060.0,7741.0,0.22,793.0,10269227.0,2295477.0,7973750.0,0.776,11.0,A,,25.0,19.0,0.0,0.0,
Vivek Verma,35.0,Urban,Salaried,,32728.0,,,795.0,3084988.0,,2174016.0,0.705,39.0,A,0.0,,3.0,1.0,,
Meera Reddy,33.0,Urban,Salaried,1370550.0,33723.0,7219.0,0.344,799.0,99686200.0,3008338.0,70368000.0,0.736,16.0,C,0.0,10.0,22.0,0.0,0.0,
Shruti Khan,34.0,Urban,Salaried,56964.0,23110.0,15317.0,0.269,772.0,9633169.0,1143283.0,8489886.0,0.881,14.0,C,0.0,25.0,139.0,0.0,,
Ritika Sharma,47.0,Urban,,71766.0,17252.0,10494.0,0.146,,17042785.0,4324620.0,12718165.0,0.746,14.0,A,1.0,25.0,49.0,0.0,0.0,
Ravi Reddy,40.0,Metro,Salaried,65620.0,42455.0,9677.0,0.147,822.0,2863569.0,979115.0,1884454.0,0.658,14.0,B,0.0,30.0,53.0,1.0,1473416.0,12.16
,34.0,Urban,Salaried,47546.0,17159.0,12274.0,0.258,683.0,10276582.0,2443483.0,7833099.0,0.762,38.0,B,0.0,10.0,48.0,0.0,0.0,
Rahul Patel,41.0,Urban,Self-Employed,55838.0,31073.0,4666.0,0.084,755.0,3850925.0,445117.0,3405808.0,,12.0,B,0.0,25.0,11.0,0.0,0.0,
Meera Patel,34.0,Urban,Salaried,50140.0,22835.0,1939.0,0.039,,7168843.0,2407896.0,4760947.0,0.664,16.0,A,0.0,20.0,26.0,1.0,3659432.0,
Ravi Patel,44.0,Metro,Salaried,48213.0,,5984.0,0.124,737.0,,2407706.0,12602078.0,0.84,31.0,A,0.0,20.0,67.0,1.0,9625080.0,12.88
Suresh Singh,39.0,Metro,,76992.0,35005.0,7740.0,0.101,756.0,10044344.0,1783737.0,8260607.0,0.822,8.0,A,0.0,15.0,5.0,1.0,6366219.0,
Yash Jain,35.0,Rural,Govt,67140.0,45563.0,6963.0,0.104,756.0,8141877.0,1216493.0,6925384.0,0.851,39.0,B,1.0,20.0,16.0,0.0,0.0,
Rahul Patel,,Urban,Self-Employed,46142.0,22350.0,3773.0,0.082,761.0,8495049.0,1691063.0,6803986.0,0.801,19.0,,0.0,20.0,16.0,1.0,5136370.0,12.85
Anjali Jain,25.0,Rural,Govt,77992.0,25952.0,,0.015,821.0,9729489.0,3181791.0,,0.673,25.0,C,0.0,20.0,27.0,1.0,5703445.0,11.31
Shruti Yadav,28.0,Urban,Salaried,66146.0,15319.0,414.0,0.006,763.0,15915314.0,,11843926.0,0.744,,A,0.0,25.0,189.0,0.0,0.0,
Kabir Gupta,,,Govt,76257.0,23336.0,26362.0,,728.0,17949609.0,2898223.0,15051386.0,0.839,20.0,A,0.0,25.0,3.0,0.0,0.0,
Kabir Kapoor,37.0,Urban,Salaried,72593.0,35660.0,10869.0,0.15,788.0,,6958628.0,12192731.0,0.637,17.0,B,0.0,20.0,35.0,0.0,0.0,
,42.0,Urban,Self-Employed,81076.0,38445.0,16936.0,0.209,792.0,,1981475.0,6675148.0,0.771,23.0,B,,10.0,60.0,1.0,,
,32.0,Metro,Salaried,92648.0,0.0,10336.0,0.112,844.0,16723220.0,5939834.0,10783386.0,0.645,4.0,,0.0,25.0,114.0,1.0,8624632.0,11.94
,37.0,Rural,Salaried,46400.0,15214.0,10288.0,0.222,729.0,4817740.0,1331916.0,3485824.0,0.724,21.0,A,0.0,15.0,71.0,1.0,2404501.0,13.27
,44.0,Metro,Salaried,70851.0,26967.0,22528.0,0.318,765.0,1109415.0,,786397.0,0.709,39.0,A,0.0,25.0,49.0,0.0,0.0,
,37.0,Urban,Salaried,46968.0,11835.0,8046.0,0.171,757.0,5104725.0,1699941.0,3404784.0,,2.0,B,0.0,,64.0,1.0,2623400.0,12.3
